gold_label,sentence1,sentence2
contradiction,A group of men with cowboy hats are watching a rodeo.,A group of women are watching a horse race
entailment,A kid with his head shaved sitting and holding a lit cigarette.,Child sits with a cigarette.
neutral,A woman riding a bicycle past a car and a group of people on a sidewalk.,A woman riding a bicycle near a group of her friends on the sidewalk.
neutral,A woman looking through what appears to be a telescope.,An female astronamer looking toward the stars through her telescope.
entailment,A large group of people stand outside on a road while people on a higher level look on at them.,One group of people are watching what another group does.
contradiction,A small dark-haired boy climbing in a large tree.,A small dark-haired boy is climbing over a car seat.
neutral,A man sits beside parked cars on a city street.,A man is sitting on a bench.
entailment,A dog looks content sitting on a bed after ripping up some paper,a dog sitting on a bed after ripping up paper.
contradiction,Young children and parents splashing around a public fountain.,There are families eating lunch
entailment,A football coach guiding one of his players on what he should do.,The coach knows how to play football.
contradiction,"Three women, two wearing red shirts and one wearing a purple shirt, and a man, wearing a light blue shirt, jump on a basketball court with balls in their hands.",Three people's are eating in hotel.
entailment,A group of uniformed men carrying a cross adorned with a white ribbon in formation walking down the street on Easter.,Several service men are carrying a cross on Easter.
neutral,A man in the middle east with a corn-on-the-cob cart selling corn.,An old middle eastern man is selling corn-on-the-cob from his brother's cart.
contradiction,A maroon car with many decals and signs topped with a gray bundle tied to the roof near the drivers door is a man leaning on the car.,The bundle is black.
neutral,A little girl in a pink Dora shirt with a pink hat on and a pink lei around her neck is cleaning some rocks with a toothbrush in a white plastic tub.,The girl has brown hair.
contradiction,A girl in a field with a yellow scarf.,The girl is in an office building.
entailment,A young boy wearing blue pajamas and yellow glasses leaping into the air.,A boy in pajamas jumping.
neutral,A man wearing an apron is smiling at a plate of food.,The food plate was the first meal the man will have today.
contradiction,A black girl and white girl walking hand and hand in a busy area of a city with a public train in the background.,Some kids play in the backyard.
contradiction,a lone motorcyclist jumping through the air in front of a large crowd.,The person is riding a horse.
entailment,A young child is enjoying the water and rock scenery with their dog.,The child and dog are enjoying some fresh air.
contradiction,Several African American children posing for the camera.,three adults take photos in London at a pub.
contradiction,A woman wearing a brown jacket and brown pants is walking her two dogs along the beach as they follow another person.,A women loads her dogs in the car.
entailment,A young man wearing black jumps off a height while people clap.,The man is jumping off something.
neutral,"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.","The waiter takes a break after cleaning up the cafe, and the last customer leaves."
neutral,A female swimmer getting out of the pool still dripping wet.,An Olympic swimmer exits the pool.
entailment,A little girl planting her first flower in the sand.,The little girl is planting her first flower.
contradiction,Two young men splitting wood with a axe in the snow.,The weather is hot
neutral,An older man looks over a younger man wielding an ax chopping wood in a fall setting.,Men cut down a tree in Central Park for their own use.
entailment,A woman is cleaning an outdoor pool.,There is a pool outside.
neutral,A young man in a blue checkered dress shirt sits with a young woman in a black and white striped shirt and another young woman in a white shirt as they sit on each of his legs in a park.,Young couples are picnicking together on a sunny day.
entailment,Two people on scooters in a field of flowers.,The people are on the scooters outside.
contradiction,A racing motorcycle rider has fallen off his bike and is sliding on the ground while another rider is driving behind.,The rider is swimming in the middle of the ocean.
entailment,A dog runs through the woods near a cottage.,the cottage is near where the dog is running
entailment,"A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.",A woman in an orange sari is a passenger on a motor cycle.
entailment,"Two men, one with a camera and another with hair clippers are helping another man in kitchen.",three men are pictured
neutral,"A team in yellow, red, and blue jerseys sit next to a road and watch a tiger mascot.",Students watch their school's mascot.
entailment,A man is standing in coconuts while trying to open one.,A person is standing in coconuts while trying to open one.
entailment,A young boy in a field of flowers carrying a ball,boy in field
contradiction,A shirtless man is sitting on a chair on the sidewalk reading a book.,A man is ice skating.
contradiction,"A lone, 2-3 year old blond child in a blue jacket is putting a small black plastic item in his mouth as he kneels on a waiting room couch pointed toward the back while looking at something or someone not in the room.",The child has brown hair.
neutral,"A brown, black, and white dog barking up a tree.",Dogs are barking up a tree because they noticed a squirel.
entailment,"A man in a blue plaid shirt and blue jeans, wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.",A casually dressed man is drinking water.
neutral,Two women looking at the camera and a man looking away.,A group of people hugging.
entailment,Gymnast photographed in mid flip.,Gymnast does a flip.
neutral,A man in the street is playing drums on old cans.,The homeless man is playing songs
neutral,A fire hydrant with a face painted on it.,The face is happy.
entailment,Man sliding down stair handrails on a bike.,A biker glides down handrails.
contradiction,a group of people walking down road heading away from the camera.,A group of guys play football in a grassy field.
entailment,A person climbs a cliff face in the woods while others watch.,A person climbs a cliff face  in the woods.
neutral,A man is standing in the aisle of a grocery store and staring at the cereal selection.,A man is selecting cereal in a grocery store.
entailment,Two women eating lunch in a cafe smile at the photographer.,Two women are enjoying a meal at a cafe.
contradiction,Two little Asian kids are dressed warmly in colorful jackets while standing on the playground.,The children are wearing tank tops.
neutral,Man in overalls with two horses.,a man in overalls with two white horses
entailment,"A young man and young woman wearing backpacks are placing or removing an item from an old white tree snag, with other people standing or sitting in the background.",a man and woman with backpacks
contradiction,An elder bearded man having a rest in a dilapidated building.,The old man is shouting something to the camera.
contradiction,A woman is holding a cake frosted with chocolate-colored frosting and decorated with orange and yellow stars in front of a boy with blond-hair.,A woman is holding a fresh baked cherry pie in front of a girl in a party dress.
entailment,An elderly woman wearing a flower printed apron with a pink colored shirt is cooking inside her kitchen.,A women is cooking
neutral,"A tennis player, wearing a yellow shirt, jumps to hit the ball to the other player, who is wearing black.",The two are playing in a very competitive game.
entailment,A man in a club addressing other people and holding his index finger up with a woman standing behind him.,A group of people are indoors.
neutral,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.",A jogger jogs around a lake.
neutral,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is five
contradiction,A guy tries to climb a stone cliff while his friend helps him.,Two men are standing on a beach looking up at a cliff.
contradiction,"Two women stand on a beach and perform stretches or yoga together, facing towards the water and away from the camera.",Two people are jogging on a path through a tunnel.
neutral,A man tumbles as spectators watch at the University of Michigan.,The man is falling down the stairs at a sports game.
entailment,A group of numbered participants walk down the street together.,A group walks down the street.
contradiction,A man in a white shirt waves his hand under a white and blue umbrella.,A man is standing on his head under water.
entailment,A baby wearing a bib makes a funny face at the camera.,A baby in a bib is making funny faces at the camera.
neutral,A lady rows a canoe filled with things.,The woman is going to deliver the items to someone.
neutral,A parade of people is marching in Santa costumes on a city street.,A group is walking in a christmas parade
neutral,Friends running a race hand in hand.,people running holding hands because they are in love
neutral,A group of young women wearing black dresses stand in a row with three of them holding bouquets.,A group of women with flowers at a wedding.
entailment,Person doing a trick on a skateboard in a skate park while people watch.,There is a person on a skateboard.
contradiction,A boy in s striped shirt is jumping in front of a water fountain.,A boy jumps next to a tractor.
entailment,"a large house with three stories and 3 matching balconies, with one person standing on each balcony overlooking onlookers.",The house has balconies.
neutral,"A woman sitting outside weaving a long piece of red, white, and blue cloth.",She is weaving an american flag
entailment,A young girl wearing a pink shirt and jeans is running through a flowered field.,A girl is in the field.
neutral,A man in an orange vest is on the sidewalk playing a guitar and singing while others are walking down the sidewalk.,A man is playing an acoustic guitar on the sidewalk while a woman and a man walk down the sidewalk.
entailment,Two little girls play in a fountain.,There are girls outdoors
entailment,Brown-haired woman talking to man with backpack.,A woman is talking to a man
entailment,"A man holds a sign outside a hotel that reads ""Ok Ok Ok, I need money for beer, pot and a hooker.""",A man is holding up a humorous sign.
entailment,A man without a shirt walking towards a gas station.,A shirtless man is walking to a gas station.
entailment,A large amount of persons flying kites in a park.,a lot of people are flying kites.
